,D1,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24
C10,3001.2,778.8,1570.0,1860.1,741.9,1502.7,1503.8,1861.0,1651.9,1174.5,0.0,1187.1,2165.7,1266.6,1817.5,637.2,406.7,1153.9,1409.3,1728.3,2022.7,2109.8,923.7,1909.2,776.5
C11,2689.2,736.3,1258.0,1548.1,751.9,792.8,1220.3,1805.8,845.4,373.2,1156.9,0.0,1853.7,1114.9,1505.5,825.4,949.6,631.1,1090.6,1601.1,1710.7,2054.6,1022.6,1597.2,635.4
C12,1674.2,1604.9,770.6,676.1,1568.0,1397.4,1078.7,1154.1,1538.3,1918.0,2104.2,2012.8,0.0,1250.0,631.3,1558.4,2203.9,1681.4,1225.0,840.8,257.0,1219.0,1306.8,728.5,1965.5
C13,2214.8,780.5,783.6,1073.7,743.6,1013.7,815.9,1172.6,1162.9,1147.5,1281.5,1322.9,1379.3,0.0,1031.1,734.0,1381.2,915.6,920.3,1039.9,1236.3,1421.4,483.4,1122.8,1146.8
C14,1253.2,1375.2,627.5,414.8,1339.9,1207.3,888.6,1124.6,1348.2,1727.9,1872.1,1822.7,433.8,1017.9,0.0,1368.3,1971.8,1449.3,1034.9,811.3,274.7,1326.6,1092.0,146.3,1733.4
C15,2402.3,141.6,971.1,1261.2,104.7,903.8,904.9,1262.1,1053.0,683.7,645.3,798.9,1566.8,738.9,1218.6,0.0,745.0,567.0,810.4,1129.4,1423.8,1510.9,375.0,1310.3,565.0
C16,3008.7,786.3,1577.5,1867.6,749.4,1492.9,1511.3,1868.5,1557.3,1020.8,456.9,964.5,2173.2,1274.1,1825.0,644.7,0.0,1053.2,1416.8,1735.8,2030.2,2117.3,931.2,1916.7,574.3
C17,2264.9,598.7,833.7,1123.8,563.4,657.7,796.0,1381.5,806.9,715.2,1095.6,830.4,1429.4,690.6,1081.2,593.5,1124.2,0.0,767.9,1176.8,1286.4,1630.3,601.4,1172.9,694.7
C18,2255.1,833.5,1060.5,1087.9,798.2,753.6,501.2,1530.5,894.5,1006.4,1330.4,1221.6,1369.9,917.4,1071.4,828.3,1430.1,814.3,0.0,1217.2,1276.6,1732.5,775.5,1163.1,1144.2
C19,1925.3,1221.0,420.4,732.4,1185.7,1454.3,1062.0,556.2,1595.2,1697.9,1717.9,1813.1,767.2,998.5,741.6,1215.8,1817.6,1429.9,1239.1,0.0,901.1,628.2,937.8,833.3,1579.2
C20,1437.9,1544.0,796.3,658.7,1508.7,1376.1,1057.4,1244.8,1517.0,1896.7,2040.9,1991.5,309.7,1186.7,395.0,1537.1,2140.6,1618.1,1203.7,931.5,0.0,1446.8,1260.8,492.2,1902.2
C21,2524.6,1657.9,1006.9,1314.1,1622.6,2036.0,1661.3,702.0,2176.9,2134.8,2154.8,2250.0,1008.8,1455.6,1340.9,1652.7,2254.5,1976.0,1838.4,665.7,1209.9,0.0,1374.7,1432.6,2016.1
C22,2253.5,390.2,822.3,1112.4,354.9,781.5,782.6,1097.8,930.7,867.1,887.1,982.3,1418.0,450.5,1069.8,351.6,986.8,645.1,688.1,965.1,1275.0,1346.6,0.0,1161.5,748.4
C23,1347.6,1439.3,691.6,411.4,1404.0,1271.4,952.7,1188.7,1412.3,1792.0,1936.2,1886.8,528.2,1082.0,103.7,1432.4,2035.9,1513.4,1099.0,875.4,369.1,1390.7,1156.1,0.0,1797.5
C24,2699.3,573.0,1268.1,1558.2,588.6,1080.9,1230.4,1746.4,1198.2,614.7,755.6,675.7,1863.8,1125.0,1515.6,662.1,542.1,641.2,1154.3,1611.2,1720.8,1995.2,859.3,1607.3,0.0
