,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
D11,12442.6,22229.5,19519.4,8989.4,12154.5,5135.4,8712.7,2469.8,11250.4,20457.7,0.0,15420.7,4392.6,7489.4,10617.2,13393.6,12735.2,17599.9,16998.0,11016.5,10560.7,3914.6,13293.8,14473.3,14433.8,8511.8,8029.5,8575.1,9567.2,3193.5,8799.2,5206.8,17237.2,16760.6,11641.5,8558.6,11792.3,6927.3,13394.2,21735.8,16504.2,10951.8
D12,25129.9,7163.1,27554.8,21676.7,5687.3,10865.1,7959.3,15252.6,23937.7,5848.2,12978.2,0.0,15618.9,20040.9,23168.7,26080.9,4250.9,3704.5,5190.0,2445.2,23112.2,16646.6,19335.5,6118.9,7880.8,14986.6,14331.0,15875.3,22118.7,13550.5,7889.5,14632.8,24755.6,24098.3,3217.8,9311.2,5655.9,10005.0,26081.5,9930.5,9186.4,23639.1
C1,13019.1,22930.8,22217.2,11687.3,10702.8,6211.3,9414.1,2373.6,9766.0,21159.1,4671.0,16122.1,0.0,6772.3,6875.4,16091.5,13436.5,18066.2,17464.2,15344.0,6300.2,2053.3,15991.7,15174.7,13139.2,5978.7,5496.4,6042.0,3537.3,3424.6,9500.5,8720.1,19935.0,19458.5,14830.6,9259.9,10340.6,7628.7,16092.0,22437.1,14035.2,13649.6
C2,7509.9,26138.6,18822.0,5690.5,14492.7,10001.1,13203.9,4438.2,4256.8,24366.9,6736.0,19300.5,4215.3,0.0,5324.1,10094.7,17226.4,23430.9,22828.9,16847.5,5267.6,3927.4,12596.5,18382.5,16929.1,9768.5,9286.2,9831.8,2497.9,7214.4,13290.4,5849.9,16539.8,16063.3,18009.0,12438.3,14130.4,11418.5,10095.3,25644.9,17825.0,7652.9
C3,9391.7,29296.6,21980.0,11450.0,17609.6,15341.7,16320.8,7644.3,7442.0,27524.8,9941.7,22458.4,7332.3,4060.3,0.0,12897.3,19802.3,26588.8,25986.9,20005.4,2179.5,7044.3,15754.4,21540.4,20046.0,12885.5,12403.1,12948.8,3824.7,10331.4,16407.3,9007.8,19697.8,19221.2,21166.9,15596.2,17247.4,14535.4,13431.4,28802.9,20942.0,13412.4
C4,3514.0,31396.3,7653.9,6585.4,21746.9,18102.5,19147.9,12708.2,7700.7,29624.6,14119.0,24558.2,13717.7,9714.8,14975.7,0.0,21902.1,29349.7,28747.8,23780.1,14919.2,13429.7,13634.3,23640.2,26948.5,19270.9,18788.6,19334.2,12000.2,13984.5,18967.7,12495.6,5944.2,5467.6,23266.7,17696.0,23017.6,18506.5,532.7,30902.6,28254.0,6214.4
C5,23849.2,9348.5,25072.9,20396.0,7531.6,9429.1,5477.3,13971.9,22657.0,7576.8,11272.1,5153.1,13912.8,18760.2,21888.0,23380.8,0.0,6818.6,11524.4,4375.0,21831.5,15365.8,16853.5,2301.3,9725.1,13233.7,12578.0,14122.3,20838.0,12237.0,4004.9,13352.1,22273.6,21616.4,3861.6,6829.3,7500.2,7523.1,23723.2,8854.8,11030.7,18129.7
C6,27824.4,9612.2,32968.8,24371.2,7942.3,13120.1,13282.2,17947.1,26632.2,6275.4,15672.7,3540.7,18313.3,22735.4,25863.2,28775.4,7913.3,0.0,1292.3,5300.7,25806.7,19341.0,26142.8,8859.9,6055.2,17241.6,16586.0,18130.3,24813.2,16245.0,14182.7,17327.3,31562.9,30905.6,6073.3,12973.6,7910.9,14733.4,28775.9,10357.7,7381.7,26333.6
C7,27213.9,11364.1,32358.3,23760.8,7331.8,12509.6,12671.7,17336.6,26021.7,7754.5,15062.2,5019.8,17702.9,22124.9,25252.7,28164.9,10626.0,1710.7,0.0,7100.0,25196.2,18730.6,25532.4,10339.0,5444.7,16631.2,15975.5,17519.8,24202.7,15634.5,13572.3,16716.9,30952.5,30295.2,7872.6,14526.3,7300.5,14122.9,28165.5,11836.8,6771.2,25723.1
C8,22947.6,8883.5,28092.1,19494.5,3505.0,8682.8,8405.4,13070.4,21755.4,7434.1,10795.9,2463.3,13436.6,17858.7,20986.5,23898.6,4633.6,8099.8,7497.8,0.0,20930.0,14464.3,21266.1,6622.3,5698.6,12804.3,12148.7,13693.0,19936.5,11368.3,9306.0,12450.6,26686.2,26028.9,1305.8,8533.9,3473.6,9856.7,23899.2,11439.1,7004.1,21456.8
C9,10191.4,28913.1,21596.5,11066.6,17226.2,14958.2,15937.4,7260.8,8241.7,27141.4,9558.3,22075.0,6948.8,6391.5,2232.8,15470.8,19418.9,26205.4,25603.4,19622.0,0.0,6660.9,15371.0,21157.0,19662.6,12502.0,12019.7,12565.3,3441.3,9947.9,16023.9,8624.4,19314.3,18837.8,20783.5,15212.8,16863.9,14152.0,15471.3,28419.4,20558.5,13028.9
C10,11542.1,24306.5,20536.8,10006.9,12078.5,7586.9,10789.7,3100.2,8289.0,22534.7,5397.6,17497.7,1801.1,5295.3,6283.6,14411.0,14812.2,19441.8,18839.9,16719.7,6227.1,0.0,14311.3,16550.3,14514.9,7354.3,6872.0,7417.6,2945.6,4800.3,10876.2,6216.9,18254.6,17778.0,16206.2,10635.6,11716.2,9004.3,14411.6,23812.8,15410.8,11969.2
C11,13899.8,27907.5,13053.7,6565.2,23554.8,16074.7,15659.1,12322.7,11138.6,26135.8,13916.0,21069.3,13812.2,9809.3,14590.2,11361.6,18413.2,24073.7,27440.6,20291.2,14533.7,13524.2,0.0,20151.4,25641.3,19365.4,18883.1,19428.7,12094.8,13599.0,15478.8,10233.2,6856.5,6199.2,19777.8,14207.1,23192.6,13990.2,11703.9,27413.8,26946.9,6110.5
C12,24986.5,9600.7,26221.0,21533.3,11041.9,10566.4,6614.6,15109.2,23794.3,7829.0,11274.0,8663.5,13914.6,19897.5,23025.3,24529.0,2458.3,9769.0,15034.8,7885.4,22968.8,14633.3,18001.7,0.0,13235.5,14371.0,13715.3,15259.6,21975.3,13374.3,5666.7,14489.4,23421.8,22764.5,7372.0,6574.2,11010.6,7222.6,24871.3,7707.4,14541.1,19277.8
C13,24541.2,16213.8,29685.6,21088.1,2954.8,7893.3,9602.1,14663.9,23349.0,12604.3,12389.5,8338.4,13325.9,19452.2,22580.0,25492.2,10683.9,6560.4,5958.5,7157.8,22523.5,14314.6,22859.7,12672.6,0.0,12014.9,11359.3,12903.6,21530.0,10861.2,10502.6,14044.2,28279.8,27622.5,7930.4,12391.3,3018.3,11053.3,25492.8,16686.6,5485.7,23050.4
C14,17965.0,22680.5,27769.2,17239.3,9899.8,5408.3,9325.5,8257.9,14711.9,20908.7,9721.6,14419.1,7919.4,11718.2,15693.9,21643.5,13186.2,17462.8,16860.9,11652.1,15637.4,8908.1,21543.7,14924.3,12179.1,0.0,2174.7,2846.3,10876.5,8808.7,10226.0,13254.6,25487.0,25010.4,12273.2,12114.6,9537.6,10776.7,21644.0,22186.7,13431.9,19201.6
C15,16010.5,21966.6,25814.7,15284.8,9186.0,4694.4,8611.6,6303.3,12757.4,20194.8,8268.5,13705.2,5964.9,9763.7,13739.4,19688.9,12472.3,16749.0,16147.0,10938.2,13682.9,6953.5,19589.2,14210.4,11465.2,1348.5,0.0,2776.6,8922.0,6854.2,9512.1,10645.7,23532.5,23055.9,11559.3,11400.8,8823.7,10993.9,19689.5,21472.9,12718.0,17247.1
C16,16926.8,23362.9,26730.9,16201.0,10582.3,6090.7,10007.9,7219.6,13673.6,21591.2,9184.7,15101.5,6881.1,10679.9,14655.6,20605.2,13868.6,18145.3,17543.4,12334.6,14599.1,7869.8,20505.4,15606.8,12861.6,1688.4,2541.0,0.0,9838.2,7770.4,10908.5,11562.0,24448.7,23972.2,12955.7,13541.3,10220.0,11910.1,20605.7,22869.2,14114.3,18163.4
C17,9458.4,25733.2,18416.6,7886.7,13982.2,9490.6,12693.4,3927.6,6205.3,23961.5,6225.5,18895.0,3704.8,3211.6,3849.8,12290.9,16239.0,23025.5,22423.5,16442.1,3793.3,3416.9,12191.1,17977.1,16418.5,9258.0,8775.7,9321.3,0.0,6703.9,12779.8,5444.4,16134.4,15657.8,17603.5,12032.9,13619.9,10908.0,12291.4,25239.5,17314.5,9849.0
C18,13314.9,20902.5,20391.6,9861.7,11550.1,4531.0,7385.8,4096.1,12122.7,19130.8,3083.5,14093.8,4206.8,8361.6,11489.4,14265.9,11408.2,16808.6,16206.7,13315.7,11432.9,4925.5,14166.1,13146.4,13829.4,6151.2,5668.9,6214.5,10439.4,0.0,7472.2,6686.4,18109.5,17632.9,12802.3,7231.6,11187.9,5600.4,14266.4,20408.8,15712.9,11824.1
C19,20661.1,13481.2,22063.6,17208.0,9733.1,6241.1,1029.9,10783.9,19468.9,11709.4,7931.1,6643.0,10571.8,15572.2,18700.0,20371.6,3986.9,9647.4,13014.3,5864.9,18643.5,11290.5,13844.3,5725.0,11215.0,10045.6,9390.0,10934.3,17650.0,9049.0,0.0,10164.1,19264.4,18607.1,5351.5,3820.0,9370.9,4182.1,20713.9,12987.5,12520.5,15120.5
C20,11505.1,20571.6,16649.5,8052.0,11251.5,7607.2,8323.2,5251.4,10312.9,18799.9,5448.4,13733.4,5840.7,6416.1,9543.9,12456.1,11077.3,18854.3,18252.4,12955.3,9487.4,5552.7,8829.5,12815.5,16453.1,11393.9,10911.6,11457.2,8493.9,6527.7,8142.9,0.0,14249.6,13592.3,12441.9,6871.2,12522.2,8084.4,12456.7,20077.9,17758.7,10014.3
C21,7237.9,31305.5,6692.2,8501.0,26952.8,20159.2,19057.1,16432.0,11424.6,29533.8,18000.5,24467.3,17441.6,13438.7,18699.6,4699.7,21811.2,27471.7,30838.6,23689.2,18643.1,17153.6,7692.3,23549.3,29039.3,22994.7,22512.4,23058.0,15724.1,17708.4,18876.8,13631.1,0.0,1648.4,23175.8,17605.1,26590.6,17388.2,5042.0,30811.8,30344.9,5866.5
C22,7886.8,30314.8,7040.7,6985.2,25962.1,19168.5,18066.4,15866.2,12073.5,28543.0,17009.8,23476.6,17355.8,13352.9,18133.8,5348.6,20820.5,26481.0,29847.8,22698.5,18077.3,17067.8,6701.6,22558.6,28048.6,22909.0,22426.7,22972.3,15638.3,17142.6,17886.1,12640.4,2140.4,0.0,22185.1,16614.4,25599.8,16397.5,5691.0,29821.1,29354.1,4350.6
C23,21919.9,10616.1,26150.7,18466.7,3346.7,9293.5,4618.8,12042.6,20727.7,8405.8,9768.2,3696.4,12408.9,16830.9,19958.7,22870.9,4006.9,10631.1,10029.1,1610.6,19902.2,13436.6,17931.4,5599.4,8229.8,13415.1,12759.4,14303.7,18908.7,10340.5,6485.4,11422.8,23351.5,22694.2,0.0,7907.2,6004.9,6664.5,22871.5,10416.1,9535.4,20429.1
C24,18973.3,14702.0,21599.2,15520.2,9347.7,5855.7,1451.9,8689.5,17781.1,12930.3,6159.5,7902.6,8800.1,13884.4,17012.2,19907.1,5207.7,10907.0,14273.8,7124.5,16955.7,9518.8,13379.9,6945.8,12474.6,9660.2,9004.6,10548.9,15962.2,7602.6,1271.7,8476.3,18800.0,18142.7,6611.1,0.0,8985.4,2410.4,20249.5,14208.3,13780.1,14656.0
C25,22246.0,11499.0,27390.4,18792.9,447.4,5598.1,7306.9,12368.7,21053.8,10049.5,10094.3,5078.7,11030.7,17157.0,20284.8,23197.0,10525.0,8509.9,7908.0,2936.0,20228.3,12019.4,20564.5,12263.1,3358.9,9719.7,9064.1,10608.4,19234.8,8566.0,8207.4,11749.0,25984.6,25327.3,2678.0,10096.1,0.0,8758.1,23197.6,14229.7,7414.3,20755.2
C26,17493.4,15555.6,21596.4,14040.3,10143.5,6651.4,2699.6,7209.5,16301.2,13783.9,4679.5,8717.4,7320.2,12404.4,15532.2,19904.4,6061.3,11721.9,15088.7,7939.4,15475.7,8038.9,13377.1,7799.5,13289.4,10456.0,9800.4,12464.2,14482.2,6122.7,2421.1,6996.4,18797.2,18139.9,7425.9,1149.4,9781.2,0.0,20246.7,15061.9,14595.0,14653.3
C27,2996.1,30878.5,8189.5,6067.5,21229.0,17584.6,18630.0,12190.3,7182.9,29106.7,13601.1,24040.3,13199.8,9196.9,14457.8,1455.5,21384.2,28831.8,28229.9,23262.2,14401.3,12911.8,13116.5,23122.3,26430.6,18753.0,18270.7,18816.3,11482.4,13466.6,18449.8,11977.8,5665.2,5188.6,22748.8,17178.1,22499.7,17988.6,0.0,30384.7,27736.2,5703.4
C28,32248.3,6232.1,33482.9,28795.2,14476.9,17828.3,13876.5,22371.0,31056.1,4460.4,18535.8,9151.7,21176.5,27159.3,30287.1,31790.8,8821.0,10132.2,11617.8,11320.4,30230.6,21895.2,25263.5,7549.1,15913.3,21632.8,20977.2,22521.5,29237.1,20636.1,12928.5,21751.3,30683.7,30026.4,10813.4,13836.0,14445.6,14484.4,32133.2,0.0,17239.8,26539.7
C29,28069.2,17037.5,33213.6,24616.0,7314.7,11845.9,13527.0,13396.5,26877.0,13428.0,15917.5,9135.7,13058.1,22980.2,26108.0,29020.2,11481.2,7384.1,6782.2,7955.2,26051.5,14046.7,26387.6,13470.0,5441.2,12064.7,11409.1,12953.4,16015.2,16489.8,14427.5,17572.1,31807.7,31150.4,8727.8,15381.5,7283.3,14978.2,29020.7,17510.3,0.0,26578.3
C30,5685.8,26774.1,9839.7,3045.4,18566.0,14921.6,14525.7,10261.3,5907.6,25002.4,11672.2,19935.9,11270.8,7268.0,12528.9,8147.6,17279.8,22940.3,26307.2,19157.9,12472.4,10982.9,6804.5,19018.0,24507.9,16824.0,16341.7,16887.3,9553.4,11537.7,14345.5,10048.8,7557.5,7080.9,18644.4,13073.8,19836.6,12856.8,8489.9,26280.4,25813.5,0.0
